epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1206.67,0.89784,0.50337,0.87694,0.95824,0.92642,0.96366,0.71457,0.79825,0.44394,0.88007,0.000990365,0.000990365,0.000990365
43,1235.83,0.8897,0.50518,0.87605,0.9432,0.93991,0.96093,0.72515,0.80266,0.4612,0.88289,0.000973861,0.000973861,0.000973861
44,1265.59,0.89658,0.50537,0.87513,0.94977,0.8811,0.94081,0.7102,0.79703,0.46202,0.88222,0.000957358,0.000957358,0.000957358
45,1293.71,0.88251,0.49833,0.87508,0.97172,0.87836,0.93789,0.69833,0.80594,0.48047,0.89181,0.000940855,0.000940855,0.000940855
46,1321.41,0.88092,0.49652,0.87227,0.95845,0.9192,0.95635,0.73367,0.84563,0.45572,0.88952,0.000924352,0.000924352,0.000924352
47,1349.28,0.87461,0.49602,0.87059,0.96445,0.89236,0.95871,0.71219,0.80839,0.4516,0.88995,0.000907848,0.000907848,0.000907848
48,1377.11,0.86093,0.48123,0.8623,0.95241,0.88633,0.93435,0.71079,0.76897,0.46101,0.87484,0.000891345,0.000891345,0.000891345
49,1405.15,0.87076,0.49286,0.86589,0.95904,0.89838,0.93903,0.71701,0.79793,0.45585,0.88297,0.000874842,0.000874842,0.000874842
50,1432.88,0.88809,0.49434,0.87421,0.949,0.9162,0.95645,0.72204,0.7817,0.43611,0.88031,0.000858338,0.000858338,0.000858338
51,1460.81,0.86181,0.48809,0.866,0.9428,0.91528,0.94021,0.71416,0.7771,0.45182,0.88107,0.000841835,0.000841835,0.000841835
52,1489.08,0.86221,0.48605,0.86883,0.95163,0.88633,0.94195,0.70653,0.80365,0.45911,0.88158,0.000825332,0.000825332,0.000825332
53,1519.81,0.856,0.48174,0.87021,0.95779,0.90632,0.95695,0.72732,0.7866,0.43174,0.87981,0.000808828,0.000808828,0.000808828
54,1547.98,0.85595,0.47797,0.86845,0.9125,0.95223,0.96495,0.73075,0.78549,0.43347,0.88092,0.000792325,0.000792325,0.000792325
55,1576.28,0.86535,0.48708,0.86532,0.91737,0.9488,0.96036,0.72748,0.80832,0.44412,0.88317,0.000775822,0.000775822,0.000775822
56,1604.2,0.85197,0.47099,0.8669,0.9537,0.89562,0.94181,0.72919,0.79934,0.43897,0.88028,0.000759318,0.000759318,0.000759318
57,1632.23,0.86254,0.48194,0.87156,0.96859,0.90441,0.94873,0.7219,0.77005,0.43864,0.88591,0.000742815,0.000742815,0.000742815
58,1664.14,0.84039,0.46969,0.86092,0.95865,0.93976,0.96209,0.7444,0.79437,0.42764,0.88279,0.000726312,0.000726312,0.000726312
